Grupo,Hora,"ID do Sensor","Temperatura (°C)","Umidade (%)","Pressão (hPa)","Altitude (m)",eCO2,eTVOC
3,12:23:09,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:23:20,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:31:48,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:31:52,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:31:56,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:32:07,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:38:20,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:38:21,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:38:24,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:45:25,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:45:28,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:45:31,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:45:41,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:52:37,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:52:37,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:52:38,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,12:52:40,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:00:13,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:00:17,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:00:20,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:00:32,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:09:01,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:09:03,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:09:07,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:09:18,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:14:56,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:14:59,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:15:03,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:15:13,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:21:56,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:21:58,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:21:59,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:21:59,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:28:40,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:28:41,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:28:42,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:28:44,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:33:43,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:33:43,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:33:43,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:33:46,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:39:26,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:39:28,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:39:31,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:39:42,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:47:58,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:48:01,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:48:05,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:48:15,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:56:06,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:56:09,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:56:13,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,13:56:23,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:03:52,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:03:55,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:03:58,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:04:05,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:09:59,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:10:01,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:10:02,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:10:03,0117,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:16:37,0112,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:16:40,0113,0000000000,0000000000,0000000000,0000000000,00000,00000
3,14:16:42,0114,0000000000,0000000000,0000000000,0000000000,00000,00000
